fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled,model,dataset
0.01,42,1.2759769081939798,0.06633222610433966,0.023789595013054405,0.042542631091285255,0.9423734738539912,0.10026756589534566,0.09535948681284415,PLIP,PCam
0.01,123,1.2657171559062423,0.07496448078523245,0.037307059692789454,0.037657421092442994,0.9405505921206587,0.10403439084984985,0.09879125043028987,PLIP,PCam
0.01,456,1.2934020157604194,0.07383888502030761,0.03897321011193517,0.03486567490837244,0.9416895104303435,0.10274345791472106,0.09788274236537164,PLIP,PCam
0.05,42,1.6519087647149648,0.04885064044813589,0.03482394306157451,0.014026697386561378,0.9511248305630562,0.09054145341246947,0.08914508740972538,PLIP,PCam
0.05,123,1.6871485225828542,0.05129385656530016,0.04004202069920408,0.011251835866096078,0.9508681244870205,0.09139708779063589,0.09020701027547998,PLIP,PCam
0.05,456,1.6280778456035505,0.048151641685149266,0.040945328741324574,0.0072063129438246915,0.948543714279838,0.09330671838053797,0.09222135801115786,PLIP,PCam
0.1,42,1.8007851767261238,0.044745926812334476,0.03969761250778045,0.005048314304554026,0.9521212155146135,0.08952710361714997,0.08903400350955495,PLIP,PCam
0.1,123,1.8001961944400122,0.04518521975710348,0.03899855453475757,0.006186665222345913,0.9527025657982592,0.088995559703611,0.08840683631272658,PLIP,PCam
0.1,456,1.8129075152777532,0.044485952426744045,0.04132222554924408,0.003163726877499967,0.9519049213951124,0.08984237385580365,0.08941740845774454,PLIP,PCam
0.25,42,1.988704853979705,0.04351208298242138,0.04360869244578683,-9.660946336544768e-05,0.9531538848003013,0.08863194198750458,0.08861779138607767,PLIP,PCam
0.25,123,1.9445906270622304,0.046185540102673804,0.04659336959661656,-0.0004078294939427532,0.9531609777543244,0.08924234492425535,0.08918176078282337,PLIP,PCam
0.25,456,1.953816638960744,0.04579897111296774,0.046146319064358746,-0.0003473479513910055,0.9531228158735408,0.08930263374644667,0.08925497770623747,PLIP,PCam
0.5,42,2.072990717673143,0.050809222963035444,0.050146165907957604,0.0006630570550778397,0.953053573890124,0.09001123544937539,0.0900268169532921,PLIP,PCam
0.5,123,2.008123875954695,0.052756303252788,0.05267971299586764,7.659025692036137e-05,0.9534081992395288,0.09019189387549853,0.09019294103118602,PLIP,PCam
0.5,456,2.062482967848838,0.053294239284988,0.052733335335076965,0.0005609039499110333,0.953014614797071,0.09052659618025341,0.09053218017142074,PLIP,PCam
1.0,42,2.1416629654719768,0.057402093681827485,0.05604174196102321,0.0013603517208042731,0.9523657175374037,0.09182469139017359,0.0917340706151371,PLIP,PCam
1.0,123,2.141662965236329,0.05740209364598723,0.05604174192747278,0.001360351718514452,0.9523657175374037,0.09182469138024293,0.09173407060598478,PLIP,PCam
1.0,456,2.1416629673196996,0.05740209394349616,0.05604174220469433,0.001360351738801828,0.9523657175374037,0.09182469146217223,0.09173407068148459,PLIP,PCam
