model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
UNI,MHIST,0.01,18,42,0.7048352242031335,0.0,0.2460449158469782,0.14940789227455353
UNI,MHIST,0.01,18,123,0.5588330632090762,0.0,0.2372661621384952,0.08720977923052581
UNI,MHIST,0.01,18,456,0.700486223662885,0.0,0.2607059833316822,0.20424883657219836
UNI,MHIST,0.05,92,42,0.8060147667927247,0.0,0.20344418592860658,0.16767917650614864
UNI,MHIST,0.05,92,123,0.7983297316765713,0.0,0.21937235011941567,0.16867269247025057
UNI,MHIST,0.05,92,456,0.7882090761750407,0.0,0.20859562243182322,0.1592836403883353
UNI,MHIST,0.1,184,42,0.8356518998739421,0.17258883248730963,0.18911552524840597,0.14454083106883678
UNI,MHIST,0.1,184,123,0.8114442643616063,0.04851752021563342,0.19623324565998929,0.14811325418715315
UNI,MHIST,0.1,184,456,0.7947685935530344,0.016483516483516484,0.20585328661808908,0.16142655317159088
UNI,MHIST,0.25,462,42,0.8540203493607059,0.5283018867924528,0.16852607152495372,0.11515928525165302
UNI,MHIST,0.25,462,123,0.8382676030974248,0.4691848906560636,0.17477978384249424,0.10896386011615519
UNI,MHIST,0.25,462,456,0.8140374572303261,0.508411214953271,0.17773066841714286,0.08914834500842572
UNI,MHIST,0.5,924,42,0.8706555015307041,0.6406779661016949,0.15515664377491603,0.10009689033764985
UNI,MHIST,0.5,924,123,0.871029173419773,0.6065857885615251,0.15674104359668592,0.10509925599883425
UNI,MHIST,0.5,924,456,0.8551233567441022,0.6082474226804123,0.1591597923819001,0.08322019182496387
UNI,MHIST,1.0,1849,42,0.8856428957320367,0.6930379746835443,0.14213764060203388,0.0802746194612563
UNI,MHIST,1.0,1849,123,0.8856428957320367,0.6930379746835443,0.14213764060204606,0.080274619461247
UNI,MHIST,1.0,1849,456,0.8856428957320367,0.6930379746835443,0.1421376406020291,0.08027461946126165
