fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement
0.01,42,9.99999609481321,0.22030111792797796,0.023432886189256652,0.1968682317387213
0.01,123,9.999995882067365,0.22659094144249642,0.02423989411551991,0.2023510473269765
0.01,456,9.99999600637193,0.22767474233123156,0.02430819654067129,0.20336654579056027
0.05,42,9.999996182894114,0.25119575924413656,0.027052619501794384,0.22414313974234218
0.05,123,9.99999591848965,0.23304939429930788,0.025115429021755287,0.2079339652775526
0.05,456,9.999995688124594,0.22989728192149012,0.024710851266487144,0.20518643065500297
0.1,42,9.999996192522646,0.3141215450847586,0.036463734243137966,0.2776578108416206
0.1,123,9.999996016172382,0.2790515503133657,0.03147441534654449,0.2475771349668212
0.1,456,9.999995820748879,0.2651346480764263,0.029503362311382952,0.23563128576504333
0.25,42,9.999995854874838,0.37464658622426195,0.04902017022461075,0.3256264159996512
0.25,123,9.999995916443225,0.3608919741309084,0.04594007599663641,0.314951898134272
0.25,456,9.999995799108838,0.33199020530989226,0.04005902832506614,0.2919311769848261
0.5,42,9.999995833911413,0.4093012832377468,0.058833604513452986,0.3504676787242938
0.5,123,9.999995843034739,0.3765814793741968,0.05042812287913521,0.32615335649506155
0.5,456,9.999995845140894,0.4000036195483939,0.05621729275300046,0.34378632679539345
1.0,42,9.999995870746188,0.43901391056667327,0.07097154369058171,0.36804236687609154
1.0,123,9.999995870746188,0.4390139105667181,0.07097154369060178,0.36804236687611636
1.0,456,9.999995870746188,0.4390139105667235,0.07097154369060418,0.36804236687611935
